State;variable;kg marine fish per person and year
Paran‡;X9.1.10.Pescada.em.file.congelado;0
Santa Catarina;X9.1.10.Pescada.em.file.congelado;0
Rio Grande do Sul;X9.1.10.Pescada.em.file.congelado;0,041
Mato Grosso do Sul;X9.1.10.Pescada.em.file.congelado;0,007
Mato Grosso;X9.1.10.Pescada.em.file.congelado;0
Goi‡s;X9.1.10.Pescada.em.file.congelado;0,001
Distrito Federal;X9.1.10.Pescada.em.file.congelado;0,017
Rond™nia;X9.1.11.Pescada.em.file.fresco;0
Acre;X9.1.11.Pescada.em.file.fresco;0
Amazonas;X9.1.11.Pescada.em.file.fresco;0
Roraima;X9.1.11.Pescada.em.file.fresco;0
Par‡;X9.1.11.Pescada.em.file.fresco;0,029
Amap‡;X9.1.11.Pescada.em.file.fresco;0
Tocantins;X9.1.11.Pescada.em.file.fresco;0
Maranh‹o;X9.1.11.Pescada.em.file.fresco;0,031
Piau’;X9.1.11.Pescada.em.file.fresco;0
Cear‡;X9.1.11.Pescada.em.file.fresco;0
Rio Grande do Norte;X9.1.11.Pescada.em.file.fresco;0
Para’ba;X9.1.11.Pescada.em.file.fresco;0
Pernambuco;X9.1.11.Pescada.em.file.fresco;0
Alagoas;X9.1.11.Pescada.em.file.fresco;0
Sergipe;X9.1.11.Pescada.em.file.fresco;0
Bahia;X9.1.11.Pescada.em.file.fresco;0,005
Minas Gerais;X9.1.11.Pescada.em.file.fresco;0
Esp’rito Santo;X9.1.11.Pescada.em.file.fresco;0
Rio de Janeiro;X9.1.11.Pescada.em.file.fresco;0
S‹o Paulo;X9.1.11.Pescada.em.file.fresco;0,008
Paran‡;X9.1.11.Pescada.em.file.fresco;0
Santa Catarina;X9.1.11.Pescada.em.file.fresco;0,008
Rio Grande do Sul;X9.1.11.Pescada.em.file.fresco;0,033
Mato Grosso do Sul;X9.1.11.Pescada.em.file.fresco;0
Mato Grosso;X9.1.11.Pescada.em.file.fresco;0
Goi‡s;X9.1.11.Pescada.em.file.fresco;0
Distrito Federal;X9.1.11.Pescada.em.file.fresco;0
Rond™nia;X9.1.12.Pescada.fresca;0
Acre;X9.1.12.Pescada.fresca;0
Amazonas;X9.1.12.Pescada.fresca;0,158
Roraima;X9.1.12.Pescada.fresca;0,017
Par‡;X9.1.12.Pescada.fresca;0,99
Amap‡;X9.1.12.Pescada.fresca;0,542
Tocantins;X9.1.12.Pescada.fresca;0
Maranh‹o;X9.1.12.Pescada.fresca;0,454
Piau’;X9.1.12.Pescada.fresca;0,04
Cear‡;X9.1.12.Pescada.fresca;0,024
Rio Grande do Norte;X9.1.12.Pescada.fresca;0,066
Para’ba;X9.1.12.Pescada.fresca;0,036
Pernambuco;X9.1.12.Pescada.fresca;0,059
Alagoas;X9.1.12.Pescada.fresca;0,121
Sergipe;X9.1.12.Pescada.fresca;0,143
